followers;genres;popularity;nationality;sex;group;founded;born;first_release;last_release;died;compilations;total_albums;total_appears_on;total_singles;total_tracks
508946;['j-division', 'j-pop', 'j-pop boy group'];62;japan;G;1;2012.0;;2012-11-21;2020-05-29;;0;11;0;39;292
1015888;['grupera', 'latin', 'latin pop'];69;mexico;F;0;;1964.0;1993-01-01;2020-05-05;99.0;0;34;0;16;481
259429;['brazilian gospel'];45;brazil;F;0;;1992.0;2004-05-11;2020-03-26;99.0;1;11;4;10;167
617990;['bolero', 'grupera', 'latin'];62;mexico;F;0;;1973.0;1998-04-24;2019-05-31;99.0;0;27;16;8;413
724841;['french hip hop', 'pop urbaine', 'rap marseille'];74;france;M;0;;1991.0;2015-02-13;2020-05-07;99.0;0;7;0;43;208
462096;['contemporary country', 'pop', 'texas country'];78;us;F;0;;1990.0;2015-12-14;2019-12-13;99.0;24;2;36;12;49
350790;['banda', 'regional mexican', 'regional mexican pop'];52;us;M;0;;1995.0;2013-07-16;2019-09-20;99.0;1;4;8;9;58
2072235;['banda', 'regional mexican pop'];67;mexico;G;1;2013.0;;2014-01-01;2017-02-24;;3;2;5;6;40
540679;['acoustic pop', 'dance pop', 'indie poptimism'];69;uk;F;0;;1992.0;2010-09-13;2020-05-22;99.0;0;11;0;39;269
950317;['opm', 'pinoy indie', 'pinoy rock'];63;philippines;M;0;;99.0;2016-12-18;2020-05-14;1977.0;0;1;8;13;26
366573;['bachata', 'latin', 'latin hip hop'];57;us;M;0;;1985.0;2002-06-11;2020-04-22;99.0;14;11;22;22;180
390761;['turkish hip hop', 'turkish trap', 'turkish trap pop'];58;turkey;M;0;;1979.0;2011-01-01;2020-04-17;99.0;0;4;11;43;92
624275;['latin christian', 'latin worship'];62;dominican republic;F;0;;1980.0;2000-01-01;2020-05-22;99.0;4;8;23;8;142
237506;['mandopop'];63;taiwan;M;0;;1987.0;2008-01-06;2019-11-25;99.0;0;26;0;24;417
325852;['groove metal', 'metal'];57;us;M;0;;1967.0;1999-01-01;2019-09-13;99.0;15;6;42;16;106
1002308;['banda', 'grupera', 'mariachi'];70;mexico;M;0;;1919.0;2009-03-24;2020-05-18;2007.0;0;50;0;0;624
390141;['spanish pop'];59;spain;M;0;;1969.0;2001-01-01;2020-01-31;99.0;6;13;22;16;174
1867455;['colombian pop', 'latin', 'latin pop'];75;colombia;F;0;;1992.0;2017-02-24;2020-05-29;99.0;0;1;14;35;47
415191;['opm', 'pinoy rock'];58;philippines;G;1;2002.0;;2008-02-07;2020-05-05;;7;9;10;13;143
880744;['chamber pop', 'indie folk', 'indie pop'];65;us;G;1;2007.0;;2006-01-01;2019-09-13;;10;21;13;10;283
585029;['sertanejo', 'sertanejo pop', 'sertanejo universitario'];66;brazil;G;1;2009.0;;2012-01-01;2020-05-29;;0;9;24;29;206
708590;['country', 'country rock', 'outlaw country'];70;us;M;0;;1937.0;1970-01-03;;2002.0;0;50;0;0;769
3781056;['adult standards', 'easy listening', 'lounge'];79;us;M;0;;1915.0;1962-11-01;2020-05-15;1998.0;0;50;0;0;962
209291;['perreo', 'reggaeton', 'reggaeton flow'];67;puerto rico;G;1;2015.0;;2015-10-12;2020-05-22;;1;0;19;44;54
369307;['k-pop'];61;south korea;M;0;;1990.0;2011-01-01;2018-07-20;99.0;0;2;6;5;36
310521;['german pop', 'metropopolis'];56;germany;G;1;2003.0;;2011-01-01;2020-04-24;;10;5;20;19;124
829463;['ccm', 'christian music', 'world worship'];76;us;G;1;2007.0;;2010-03-08;2020-05-01;;10;14;11;25;243
470004;['bhangra', 'desi pop', 'punjabi pop'];52;australia;M;0;;1989.0;2010-01-01;2020-05-08;99.0;0;0;6;49;49
1144928;['latin', 'latin arena pop', 'latin pop'];67;spain;M;0;;1981.0;2001-09-21;2020-05-31;99.0;0;15;10;28;241
367664;['classic pakistani pop', 'desi pop', 'filmi'];54;pakistan;M;0;;1965.0;2008-09-09;2018-12-29;99.0;13;6;26;29;134
544351;['dark trap', 'emo rap', 'miami hip hop'];74;us;M;0;;1994.0;2012-01-06;2020-05-08;99.0;0;6;13;33;118
1408738;['latin', 'latin arena pop', 'latin pop'];71;mexico;M;0;;1974.0;1997-01-01;2020-04-10;99.0;0;47;0;3;673
433564;['alternative metal', 'glam metal', 'hard rock', 'nu metal', 'post-grunge', 'rock', 'sleaze rock'];60;us;G;1;1995.0;;1999-01-01;2020-02-28;;16;15;23;12;205
483778;['alternative country', 'folk', 'indie folk'];62;us;M;0;;1974.0;2000-05-09;2019-01-23;99.0;0;47;0;3;694
1639781;['east coast hip hop', 'gangster rap', 'hardcore hip hop'];71;us;G;1;1992.0;;1992-12-14;2019-05-17;;0;30;0;20;532
315937;['trap italiana'];76;italy;M;0;;1999.0;2016-09-12;2020-05-29;99.0;0;2;16;33;61
563153;['classic soundtrack', 'italian soundtrack', 'soundtrack'];69;italy;M;0;;1928.0;1980-01-01;2020-05-29;99.0;0;50;0;0;1157
817071;['oyun havasi', 'turkish pop', 'turkish rock'];67;turkey;G;1;2004.0;;2006-06-03;2020-05-24;;6;10;19;21;153
853381;['axe', 'baile pop', 'funk carioca'];64;brazil;F;0;;1980.0;2007-01-01;2020-05-08;99.0;0;7;0;43;187
326264;['indie r&b'];57;uk;M;0;;1991.0;2014-10-26;2020-04-20;99.0;28;3;34;14;92
211338;['french reggae'];59;france;G;1;1997.0;;2001-01-06;2020-05-22;;6;15;26;13;227
4739678;['australian hip hop', 'dance pop', 'hip pop'];75;australia;F;0;;1990.0;2013-01-01;2019-12-02;99.0;0;12;0;38;242
230403;['dancehall', 'modern reggae'];65;jamaica;M;0;;1992.0;2012-06-01;2020-05-29;99.0;1;4;15;37;99
1413062;['europop', 'italian pop', 'latin'];73;italy;F;0;;1974.0;2002-01-01;2019-11-08;99.0;0;50;0;0;999
744822;['contemporary country', 'country road'];75;us;G;1;2007.0;;2014-01-21;2019-10-25;;14;4;17;8;60
810626;['pagode', 'sertanejo', 'sertanejo pop'];60;brazil;G;1;1980.0;;1997-05-08;2020-03-30;;16;24;18;8;398
320771;['rap catalan', 'rap latina', 'trap catala'];70;spain;F;0;;1997.0;2016-11-11;2020-05-15;99.0;28;2;32;16;32
237040;['groove room', 'turkish pop'];57;turkey;M;0;;1990.0;2014-03-06;2020-05-29;99.0;14;0;21;34;78
273995;['r&b'];64;us;F;0;;1984.0;2015-05-26;2020-05-29;99.0;2;2;27;21;68
661899;['classic soul', 'disco', 'funk'];62;us;M;0;;1948.0;1978-04-20;2020-05-15;2004.0;19;24;19;3;303
1445419;['classic bollywood', 'desi pop', 'filmi'];62;india;F;0;;1929.0;2004-01-01;2020-05-14;99.0;0;50;0;0;713
811994;['axe', 'pagode', 'sertanejo'];67;brazil;G;1;1983.0;;1991-01-01;2019-08-01;;15;28;17;5;454
758546;['adoracao', 'brazilian gospel'];57;brazil;M;0;;1978.0;2008-01-01;2020-05-25;99.0;0;22;0;28;303
422839;['german pop', 'german rock'];61;germany;M;0;;1985.0;2011-05-30;2020-03-06;99.0;9;8;20;22;201
206213;['east coast hip hop', 'gangster rap', 'hardcore hip hop'];59;us;G;1;1991.0;;1992-07-04;2020-03-13;;2;9;36;4;184
2013019;['banda', 'grupera', 'norteno'];74;mexico;G;1;1938.0;;1994-11-03;2019-07-26;;0;50;0;0;778
518162;['alternative hip hop', 'east coast hip hop', 'gangster rap'];62;us;G;1;1988.0;;1996-01-01;2019-11-15;;5;6;25;23;118
235234;['alternative dance', 'alternative rock', 'art pop'];61;us;M;0;;1978.0;1998-01-01;2020-05-21;99.0;0;31;0;19;555
1042651;['baroque pop', 'chamber pop', 'freak folk'];75;us;M;0;;1975.0;2003-01-07;2020-03-24;99.0;6;17;16;22;375
488076;['brill building pop', 'rock-and-roll', 'rockabilly'];59;us;M;0;;1932.0;1957-03-01;2007-04-24;99.0;31;12;11;2;184
1527593;['classic pakistani pop', 'desi pop', 'filmi'];68;pakistan;M;0;;1983.0;2006-01-01;2020-05-14;99.0;6;1;15;37;53
837895;['edm', 'electropop', 'melodic dubstep'];81;us;M;0;;1990.0;2015-07-21;2020-05-15;99.0;0;6;0;44;159
480659;['bossa nova', 'mangue bit', 'mpb'];64;brazil;M;0;;1942.0;1969-01-20;2015-10-30;99.0;0;50;0;0;691
209510;['axe', 'brega', 'forro'];52;brazil;M;0;;1944.0;1970-02-14;2017-10-23;2013.0;2;32;18;0;459
673647;['adoracao', 'brazilian gospel', 'pagode baiano'];62;brazil;G;1;2015.0;;2015-11-27;2020-05-29;;3;3;17;22;68
211701;['britpop', 'madchester', 'modern rock'];53;uk;M;0;;1963.0;1998-01-01;2020-05-01;99.0;8;21;3;20;275
637524;['art pop', 'dance pop', 'electropop'];68;sweden;F;0;;1979.0;1995-10-13;2018-10-26;99.0;0;50;0;0;554
1380173;['deep pop r&b', 'pop', 'r&b'];68;us;F;0;;1995.0;2018-08-06;2020-05-08;99.0;1;0;10;14;26
1385387;['desi hip hop', 'filmi', 'tamil hip hop'];69;india;M;0;;1990.0;1999-04-12;2020-05-25;99.0;0;31;0;19;406
281289;['crunk', 'deep southern trap', 'dirty south rap'];48;us;M;0;;1971.0;1998-01-01;2020-05-29;99.0;3;30;1;17;602
1719201;['desi pop', 'filmi', 'modern bollywood'];66;india;M;0;;1979.0;2009-02-01;2020-05-13;99.0;0;19;0;31;220
2911194;['pagode'];76;brazil;M;0;;1988.0;2014-09-09;2020-05-22;99.0;7;5;21;25;118
429153;['classic soul', 'funk', 'motown'];59;us;M;0;;1944.0;1969-01-01;2017-06-16;2014.0;13;30;0;7;319
617408;['belgian hip hop', 'french hip hop', 'new french touch'];69;belgium;M;0;;1992.0;2013-10-14;2020-04-23;99.0;20;5;27;18;105
3182916;['grupera', 'mariachi', 'ranchera'];76;mexico;M;0;;1940.0;1990-12-06;2018-08-10;99.0;0;50;0;0;751
767998;['k-pop', 'k-pop boy group'];64;south korea;G;1;2016.0;;2016-09-07;2020-05-15;;1;3;4;31;152
2083025;['dance pop', 'hip hop', 'hip pop'];63;us;F;0;;1979.0;1994-01-01;2020-04-22;99.0;2;6;39;10;108
2095550;['dance pop', 'pop', 'post-teen pop'];79;uk;F;0;;1989.0;2015-01-01;2019-11-08;99.0;0;5;0;45;133
205110;['mainland chinese pop', 'mandopop'];62;china;M;0;;1985.0;2013-09-16;2020-05-23;99.0;0;5;2;23;75
1368228;['hip hop', 'rap', 'southern hip hop'];67;us;G;1;2006.0;;2013-04-12;2017-08-25;;4;4;6;20;78
1328995;['italian hip hop'];72;italy;M;0;;1980.0;2011-01-01;2020-05-29;99.0;1;13;16;22;305
255951;['deep turkish pop', 'turkish pop', 'turkish rock'];51;turkey;M;0;;1979.0;2005-10-14;2020-05-06;99.0;3;10;12;36;168
976103;['dance pop', 'edm', 'electro house'];80;germany;M;0;;1994.0;2016-07-15;2020-05-22;99.0;0;3;0;47;175
300918;['alternative r&b', 'escape room', 'indie r&b'];69;us;F;0;;1992.0;2017-11-01;2020-05-01;99.0;2;1;43;20;51
1019421;['dance pop', 'post-teen pop'];64;us;M;0;;1989.0;2011-01-01;2019-12-20;99.0;18;2;45;8;37
2645392;['a cappella'];72;us;G;1;2011.0;;2012-06-26;2019-11-20;;0;17;0;33;281
1092398;['chicago rap', 'trap'];82;us;M;0;;1999.0;2018-11-03;2020-05-29;99.0;0;2;34;24;54
1367399;['k-pop', 'korean pop'];73;south korea;F;0;;1993.0;2008-09-23;2020-05-06;99.0;1;8;16;32;160
320571;['chicago rap', 'detroit trap', 'trap'];56;us;M;0;;1996.0;2016-07-17;2020-05-22;99.0;1;4;21;32;97
211706;['cuarteto'];54;argentina;M;0;;1987.0;2006-05-10;2019-12-19;99.0;3;25;9;5;317
1070920;['alternative dance', 'indie pop', 'indie rock'];65;us;G;1;2007.0;;2008-09-16;2020-02-07;;13;9;22;22;168
574159;['j-division', 'j-pop', 'j-pop boy group'];61;japan;G;1;2010.0;;2010-10-11;2020-04-08;;3;11;0;36;254
1147874;['chicano rap', 'gangster rap', 'hardcore hip hop'];70;us;G;1;1986.0;;1991-01-01;2018-09-28;;0;36;0;14;609
4307724;['latin', 'latin hip hop', 'reggaeton'];82;puerto rico;G;1;2004.0;;2004-04-05;2020-04-03;;0;6;0;44;178
254726;['electropop', 'pop edm'];62;canada;F;0;;1989.0;2014-06-23;2020-04-23;99.0;0;4;0;46;132
4403586;['hip hop', 'indie pop rap', 'pop rap'];85;us;M;0;;1989.0;2012-09-26;2020-05-29;99.0;0;12;0;38;213
340733;['alternative dance', 'dance-punk', 'garage rock'];60;uk;G;1;2007.0;;2008-01-01;2019-12-06;;0;21;0;29;318
736096;['baile pop', 'bossa nova', 'mpb'];65;brazil;F;0;;1976.0;2003-07-21;2019-10-25;99.0;5;15;20;17;240
933168;['alternative rock', 'classic rock', 'dance rock'];67;us;M;0;;1947.0;1979-01-01;2020-05-29;99.0;0;50;0;0;1110
579033;['australian electropop', 'indietronica'];72;australia;G;1;2010.0;;1986-01-01;2020-03-06;;0;23;0;27;341
1487915;['latin viral pop'];62;mexico;M;0;;1995.0;2017-06-07;2020-05-01;99.0;0;0;2;20;20
3688702;['banda', 'norteno', 'regional mexican'];78;mexico;G;1;2010.0;;2010-01-01;2020-05-29;;0;21;0;29;342
951267;['arabesk', 'turkish folk', 'turkish pop'];60;turkey;F;0;;1966.0;1994-06-15;2019-12-19;99.0;0;40;0;10;630
15926425;['electropop', 'pop', 'tropical house'];87;us;G;1;2014.0;;2015-10-07;2020-02-19;;0;6;0;44;208
253174;['downtempo', 'electronica', 'trip hop'];57;belgium;G;1;1995.0;;1996-01-01;2020-05-15;;0;17;0;33;417
1155612;['gangster rap', 'hardcore hip hop', 'hip hop'];63;us;G;1;1999.0;;2003-01-01;2018-12-31;;23;6;26;17;143
518034;['funk carioca', 'pagode'];63;brazil;M;0;;1978.0;2004-01-01;2020-05-15;99.0;0;13;0;37;197
1577215;['k-pop', 'k-pop boy group'];67;south korea;G;1;2005.0;;2005-05-12;2020-02-12;;1;22;4;25;399
203652;['funk carioca'];69;brazil;M;0;;1996.0;2018-10-18;2020-05-22;99.0;0;0;2;49;55
293367;['dutch hip hop', 'tropical house'];71;netherlands;M;0;;1984.0;2010-05-30;2020-05-29;99.0;13;1;22;31;62
1372684;['funk carioca', 'pagode', 'sertanejo universitario'];73;brazil;G;1;2001.0;;2003-01-25;2020-05-29;;8;11;16;21;199
388230;['dance pop', 'neon pop punk', 'pop punk'];61;us;G;1;2006.0;;2006-08-28;2014-08-25;;0;14;10;26;223
542250;['alternative dance', 'dance-punk', 'electropop'];62;sweden;G;1;2007.0;;2009-01-01;2017-06-16;;1;13;1;36;251
834028;['pop', 'post-teen pop'];83;us;M;0;;1996.0;2015-10-30;2020-04-17;99.0;22;4;26;20;108
1369305;['italian arena pop', 'italian hip hop', 'italian pop'];65;italy;M;0;;1989.0;2013-01-29;2020-05-15;99.0;4;10;24;21;248
433435;['spanish hip hop'];64;spain;G;1;1993.0;;2004-11-15;2020-05-29;;1;15;20;17;270
4735370;['latin', 'latin hip hop', 'reggaeton'];87;us;M;0;;1985.0;2008-09-12;2020-04-24;99.0;0;9;0;41;203
270301;['filmi', 'indian folk', 'modern bollywood'];46;india;F;0;;1985.0;1986-08-01;2018-04-02;99.0;20;14;21;11;143
750774;['k-pop', 'korean pop'];63;south korea;M;0;;1992.0;2016-02-25;2020-05-19;99.0;7;0;14;19;41
203033;['desi pop', 'filmi', 'modern bollywood'];50;india;M;0;;1960.0;1986-10-12;2020-04-03;99.0;0;50;0;0;492
2723565;['dance pop', 'europop', 'pop'];71;uk;M;0;;1984.0;2010-11-29;2019-05-31;99.0;0;20;0;30;394
789327;['axe', 'pagode', 'sertanejo universitario'];66;brazil;G;1;1982.0;;1996-01-01;2018-08-24;;15;25;21;4;406
1155088;['art rock', 'britpop', 'dance rock'];70;uk;G;1;1980.0;;1981-01-13;2019-07-12;;0;36;0;14;526
738158;['french hip hop', 'pop urbaine', 'rap marseille'];73;france;M;0;;1993.0;2015-11-13;2020-05-29;99.0;21;6;32;14;109
823382;['turkish alternative', 'turkish alternative rock', 'turkish pop'];62;turkey;G;1;1996.0;;1997-12-11;2019-08-06;;6;22;6;22;448
1863146;['modern rock', 'neo mellow', 'piano rock'];73;uk;G;1;1995.0;;2004-01-01;2020-01-01;;0;24;0;26;385
525041;['latin viral pop'];62;mexico;F;0;;1999.0;2018-08-17;2020-05-29;99.0;0;0;1;16;19
1014786;['dmv rap', 'hip hop', 'pop rap'];73;us;M;0;;1997.0;2018-05-16;2020-04-22;99.0;5;3;28;12;65
526029;['dance pop', 'escape room', 'hyperpop'];62;us;F;0;;1995.0;2017-01-31;2020-01-09;99.0;1;4;1;7;57
339198;['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical'];64;russia;M;0;;1873.0;2018-11-05;2020-05-30;1943.0;0;50;0;0;1089
306636;['pop flamenco', 'spanish pop'];64;spain;M;0;;1979.0;2017-01-20;2020-04-29;99.0;5;3;16;16;49
1094977;['pop'];80;uk;M;0;;1989.0;2010-09-26;2019-11-22;99.0;0;6;2;42;168
1615591;['dance pop', 'electropop', 'indie poptimism'];75;us;F;0;;1999.0;2014-01-01;2019-11-01;99.0;23;2;27;22;60
227899;['chopped and screwed', 'crunk', 'dirty south rap'];49;us;M;0;;1971.0;1995-01-08;2019-12-07;2000.0;6;23;14;16;448
501609;['italian arena pop', 'italian hip hop'];69;italy;M;0;;1991.0;2015-01-01;2020-03-13;99.0;2;3;8;19;63
2483431;['dance pop', 'pop', 'pop rap'];76;us;G;1;2008.0;;2010-10-20;2016-02-26;;1;6;1;4;91
269371;['neue deutsche harte'];63;germany;M;0;;1963.0;2015-06-30;2020-02-07;99.0;0;2;0;8;38
2435419;['k-pop', 'k-pop boy group'];70;south korea;G;1;2015.0;;2015-01-10;2020-02-06;;2;25;3;16;519
6017614;['dance pop', 'pop', 'post-teen pop'];72;us;M;0;;1992.0;2012-08-05;2020-05-20;99.0;0;10;2;38;208
1229715;['latin pop'];71;spain;M;0;;1991.0;2015-04-24;2020-04-02;99.0;0;4;5;41;147
8988514;['chicago rap', 'melodic rap'];95;us;M;0;;1998.0;2018-04-05;2020-05-29;99.0;12;4;23;23;100
236646;['spanish indie pop', 'spanish pop'];65;spain;M;0;;1987.0;2010-12-26;2020-05-13;99.0;3;4;23;29;93
291142;['turkish hip hop', 'turkish trap'];63;turkey;M;0;;99.0;2018-03-16;2020-04-17;99.0;0;1;3;9;20
218718;['alternative r&b', 'gauze pop', 'indie r&b'];63;uk;F;0;;1989.0;2013-01-01;2020-05-22;99.0;4;3;17;36;97
1988869;['bedroom pop', 'indie r&b', 'pop'];81;uk;M;0;;1998.0;2016-07-11;2020-04-17;99.0;1;3;5;14;44
245527;['album rock', 'hard rock', 'instrumental rock', 'metal', 'metal guitar', 'neo classical metal', 'power metal', 'progressive metal', 'rock', 'shred', 'speed metal', 'swedish hard rock'];53;sweden;M;0;;1963.0;1986-01-01;2019-10-11;99.0;5;39;0;6;545
257680;['french hip hop', 'pop urbaine', 'rap conscient'];69;france;M;0;;1992.0;2015-09-02;2020-03-06;99.0;1;6;5;12;108
219653;['big room', 'edm', 'progressive electro house'];65;uk;M;0;;1980.0;2010-09-23;2020-05-15;99.0;0;14;0;36;295
1067874;['latin', 'perreo', 'reggaeton'];74;puerto rico;G;1;1999.0;;2002-10-17;2020-05-20;;14;6;23;22;114
