name_original,followers,genres,popularity,nationality,sex,group,founded,born,first_release,last_release,died,compilations,total_albums,total_appears_on,total_singles,total_tracks
Kapanga,267443,"['argentine reggae', 'argentine rock', 'latin alternative']",51,argentina,G,1,1995.0,,1998-01-01,2020-05-15,,11,13,22,12,227
Vitão,594818,['pop nacional'],75,brazil,M,0,,1999.0,2019-01-02,2020-05-29,99.0,21,1,27,25,45
Passenger,2519618,"['folk-pop', 'neo mellow', 'pop']",76,uk,M,0,,1984.0,2007-01-01,2020-05-22,99.0,0,34,0,16,500
Buray,783109,['turkish pop'],60,turkey,M,0,,1984.0,2014-07-13,2020-03-27,99.0,3,4,14,12,51
Jads & Jadson,493104,"['sertanejo', 'sertanejo pop', 'sertanejo tradicional']",62,brazil,G,1,1990.0,,2003-01-01,2020-04-09,,1,16,23,20,262
Hayko Cepkin,401060,"['anadolu rock', 'turkish alternative', 'turkish alternative rock']",57,turkey,M,0,,1978.0,2006-01-01,2020-05-05,99.0,13,6,32,16,92
GENERATIONS from EXILE TRIBE,508946,"['j-division', 'j-pop', 'j-pop boy group']",62,japan,G,1,2012.0,,2012-11-21,2020-05-29,,0,11,0,39,292
Yuri,1015888,"['grupera', 'latin', 'latin pop']",69,mexico,F,0,,1964.0,1993-01-01,2020-05-05,99.0,0,34,0,16,481
Jamily,259429,['brazilian gospel'],45,brazil,F,0,,1992.0,2004-05-11,2020-03-26,99.0,1,11,4,10,167
Edith Márquez,617990,"['bolero', 'grupera', 'latin']",62,mexico,F,0,,1973.0,1998-04-24,2019-05-31,99.0,0,27,16,8,413
Naps,724841,"['french hip hop', 'pop urbaine', 'rap marseille']",74,france,M,0,,1991.0,2015-02-13,2020-05-07,99.0,0,7,0,43,208
Maren Morris,462096,"['contemporary country', 'pop', 'texas country']",78,us,F,0,,1990.0,2015-12-14,2019-12-13,99.0,24,2,36,12,49
Kevin Ortiz,350790,"['banda', 'regional mexican', 'regional mexican pop']",52,us,M,0,,1995.0,2013-07-16,2019-09-20,99.0,1,4,8,9,58
Ariel Camacho y Los Plebes Del Rancho,2072235,"['banda', 'regional mexican pop']",67,mexico,G,1,2013.0,,2014-01-01,2017-02-24,,3,2,5,6,40
Gabrielle Aplin,540679,"['acoustic pop', 'dance pop', 'indie poptimism']",69,uk,F,0,,1992.0,2010-09-13,2020-05-22,99.0,0,11,0,39,269
I Belong to the Zoo,950317,"['opm', 'pinoy indie', 'pinoy rock']",63,philippines,M,0,,99.0,2016-12-18,2020-05-14,1977.0,0,1,8,13,26
Toby Love,366573,"['bachata', 'latin', 'latin hip hop']",57,us,M,0,,1985.0,2002-06-11,2020-04-22,99.0,14,11,22,22,180
Yener Çevik,390761,"['turkish hip hop', 'turkish trap', 'turkish trap pop']",58,turkey,M,0,,1979.0,2011-01-01,2020-04-17,99.0,0,4,11,43,92
Lilly Goodman,624275,"['latin christian', 'latin worship']",62,dominican republic,F,0,,1980.0,2000-01-01,2020-05-22,99.0,4,8,23,8,142
Yoga Lin,237506,['mandopop'],63,taiwan,M,0,,1987.0,2008-01-06,2019-11-25,99.0,0,26,0,24,417
Zakk Wylde,325852,"['groove metal', 'metal']",57,us,M,0,,1967.0,1999-01-01,2019-09-13,99.0,15,6,42,16,106
Antonio Aguilar,1002308,"['banda', 'grupera', 'mariachi']",70,mexico,M,0,,1919.0,2009-03-24,2020-05-18,2007.0,0,50,0,0,624
El Arrebato,390141,['spanish pop'],59,spain,M,0,,1969.0,2001-01-01,2020-01-31,99.0,6,13,22,16,174
Greeicy,1867455,"['colombian pop', 'latin', 'latin pop']",75,colombia,F,0,,1992.0,2017-02-24,2020-05-29,99.0,0,1,14,35,47
Mayonnaise,415191,"['opm', 'pinoy rock']",58,philippines,G,1,2002.0,,2008-02-07,2020-05-05,,7,9,10,13,143
Edward Sharpe & The Magnetic Zeros,880744,"['chamber pop', 'indie folk', 'indie pop']",65,us,G,1,2007.0,,2006-01-01,2019-09-13,,10,21,13,10,283
Israel & Rodolffo,585029,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",66,brazil,G,1,2009.0,,2012-01-01,2020-05-29,,0,9,24,29,206
Waylon Jennings,708590,"['country', 'country rock', 'outlaw country']",70,us,M,0,,1937.0,1970-01-03,,2002.0,0,50,0,0,769
Frank Sinatra,3781056,"['adult standards', 'easy listening', 'lounge']",79,us,M,0,,1915.0,1962-11-01,2020-05-15,1998.0,0,50,0,0,962
Gigolo Y La Exce,209291,"['perreo', 'reggaeton', 'reggaeton flow']",67,puerto rico,G,1,2015.0,,2015-10-12,2020-05-22,,1,0,19,44,54
SEUNGRI,369307,['k-pop'],61,south korea,M,0,,1990.0,2011-01-01,2018-07-20,99.0,0,2,6,5,36
Glasperlenspiel,310521,"['german pop', 'metropopolis']",56,germany,G,1,2003.0,,2011-01-01,2020-04-24,,10,5,20,19,124
Elevation Worship,829463,"['ccm', 'christian music', 'world worship']",76,us,G,1,2007.0,,2010-03-08,2020-05-01,,10,14,11,25,243
Pav Dharia,470004,"['bhangra', 'desi pop', 'punjabi pop']",52,australia,M,0,,1989.0,2010-01-01,2020-05-08,99.0,0,0,6,49,49
Alex Ubago,1144928,"['latin', 'latin arena pop', 'latin pop']",67,spain,M,0,,1981.0,2001-09-21,2020-05-31,99.0,0,15,10,28,241
Shafqat Amanat Ali,367664,"['classic pakistani pop', 'desi pop', 'filmi']",54,pakistan,M,0,,1965.0,2008-09-09,2018-12-29,99.0,13,6,26,29,134
Pouya,544351,"['dark trap', 'emo rap', 'miami hip hop']",74,us,M,0,,1994.0,2012-01-06,2020-05-08,99.0,0,6,13,33,118
Cristian Castro,1408738,"['latin', 'latin arena pop', 'latin pop']",71,mexico,M,0,,1974.0,1997-01-01,2020-04-10,99.0,0,47,0,3,673
Buckcherry,433564,"['alternative metal', 'glam metal', 'hard rock', 'nu metal', 'post-grunge', 'rock', 'sleaze rock']",60,us,G,1,1995.0,,1999-01-01,2020-02-28,,16,15,23,12,205
Ryan Adams,483778,"['alternative country', 'folk', 'indie folk']",62,us,M,0,,1974.0,2000-05-09,2019-01-23,99.0,0,47,0,3,694
Wu-Tang Clan,1639781,"['east coast hip hop', 'gangster rap', 'hardcore hip hop']",71,us,G,1,1992.0,,1992-12-14,2019-05-17,,0,30,0,20,532
Shiva,315937,['trap italiana'],76,italy,M,0,,1999.0,2016-09-12,2020-05-29,99.0,0,2,16,33,61
Ennio Morricone,563153,"['classic soundtrack', 'italian soundtrack', 'soundtrack']",69,italy,M,0,,1928.0,1980-01-01,2020-05-29,99.0,0,50,0,0,1157
Pinhani,817071,"['oyun havasi', 'turkish pop', 'turkish rock']",67,turkey,G,1,2004.0,,2006-06-03,2020-05-24,,6,10,19,21,153
Claudia Leitte,853381,"['axe', 'baile pop', 'funk carioca']",64,brazil,F,0,,1980.0,2007-01-01,2020-05-08,99.0,0,7,0,43,187
Jack Garratt,326264,['indie r&b'],57,uk,M,0,,1991.0,2014-10-26,2020-04-20,99.0,28,3,34,14,92
Dub Inc.,211338,['french reggae'],59,france,G,1,1997.0,,2001-01-06,2020-05-22,,6,15,26,13,227
Iggy Azalea,4739678,"['australian hip hop', 'dance pop', 'hip pop']",75,australia,F,0,,1990.0,2013-01-01,2019-12-02,99.0,0,12,0,38,242
Chronixx,230403,"['dancehall', 'modern reggae']",65,jamaica,M,0,,1992.0,2012-06-01,2020-05-29,99.0,1,4,15,37,99
Laura Pausini,1413062,"['europop', 'italian pop', 'latin']",73,italy,F,0,,1974.0,2002-01-01,2019-11-08,99.0,0,50,0,0,999
Old Dominion,744822,"['contemporary country', 'country road']",75,us,G,1,2007.0,,2014-01-21,2019-10-25,,14,4,17,8,60
Edson & Hudson,810626,"['pagode', 'sertanejo', 'sertanejo pop']",60,brazil,G,1,1980.0,,1997-05-08,2020-03-30,,16,24,18,8,398
Bad Gyal,320771,"['rap catalan', 'rap latina', 'trap catala']",70,spain,F,0,,1997.0,2016-11-11,2020-05-15,99.0,28,2,32,16,32
Deeperise,237040,"['groove room', 'turkish pop']",57,turkey,M,0,,1990.0,2014-03-06,2020-05-29,99.0,14,0,21,34,78
Andra Day,273995,['r&b'],64,us,F,0,,1984.0,2015-05-26,2020-05-29,99.0,2,2,27,21,68
Rick James,661899,"['classic soul', 'disco', 'funk']",62,us,M,0,,1948.0,1978-04-20,2020-05-15,2004.0,19,24,19,3,303
Lata Mangeshkar,1445419,"['classic bollywood', 'desi pop', 'filmi']",62,india,F,0,,1929.0,2004-01-01,2020-05-14,99.0,0,50,0,0,713
Raça Negra,811994,"['axe', 'pagode', 'sertanejo']",67,brazil,G,1,1983.0,,1991-01-01,2019-08-01,,15,28,17,5,454
André Valadão,758546,"['adoracao', 'brazilian gospel']",57,brazil,M,0,,1978.0,2008-01-01,2020-05-25,99.0,0,22,0,28,303
Tim Bendzko,422839,"['german pop', 'german rock']",61,germany,M,0,,1985.0,2011-05-30,2020-03-06,99.0,9,8,20,22,201
Das EFX,206213,"['east coast hip hop', 'gangster rap', 'hardcore hip hop']",59,us,G,1,1991.0,,1992-07-04,2020-03-13,,2,9,36,4,184
Banda El Recodo,2013019,"['banda', 'grupera', 'norteno']",74,mexico,G,1,1938.0,,1994-11-03,2019-07-26,,0,50,0,0,778
De La Soul,518162,"['alternative hip hop', 'east coast hip hop', 'gangster rap']",62,us,G,1,1988.0,,1996-01-01,2019-11-15,,5,6,25,23,118
Ariel Pink,235234,"['alternative dance', 'alternative rock', 'art pop']",61,us,M,0,,1978.0,1998-01-01,2020-05-21,99.0,0,31,0,19,555
Sufjan Stevens,1042651,"['baroque pop', 'chamber pop', 'freak folk']",75,us,M,0,,1975.0,2003-01-07,2020-03-24,99.0,6,17,16,22,375
Little Richard,488076,"['brill building pop', 'rock-and-roll', 'rockabilly']",59,us,M,0,,1932.0,1957-03-01,2007-04-24,99.0,31,12,11,2,184
Atif Aslam,1527593,"['classic pakistani pop', 'desi pop', 'filmi']",68,pakistan,M,0,,1983.0,2006-01-01,2020-05-14,99.0,6,1,15,37,53
ILLENIUM,837895,"['edm', 'electropop', 'melodic dubstep']",81,us,M,0,,1990.0,2015-07-21,2020-05-15,99.0,0,6,0,44,159
Jorge Ben Jor,480659,"['bossa nova', 'mangue bit', 'mpb']",64,brazil,M,0,,1942.0,1969-01-20,2015-10-30,99.0,0,50,0,0,691
Reginaldo Rossi,209510,"['axe', 'brega', 'forro']",52,brazil,M,0,,1944.0,1970-02-14,2017-10-23,2013.0,2,32,18,0,459
Preto no Branco,673647,"['adoracao', 'brazilian gospel', 'pagode baiano']",62,brazil,G,1,2015.0,,2015-11-27,2020-05-29,,3,3,17,22,68
Ian Brown,211701,"['britpop', 'madchester', 'modern rock']",53,uk,M,0,,1963.0,1998-01-01,2020-05-01,99.0,8,21,3,20,275
Robyn,637524,"['art pop', 'dance pop', 'electropop']",68,sweden,F,0,,1979.0,1995-10-13,2018-10-26,99.0,0,50,0,0,554
Queen Naija,1380173,"['deep pop r&b', 'pop', 'r&b']",68,us,F,0,,1995.0,2018-08-06,2020-05-08,99.0,1,0,10,14,26
Anirudh Ravichander,1385387,"['desi hip hop', 'filmi', 'tamil hip hop']",69,india,M,0,,1990.0,1999-04-12,2020-05-25,99.0,0,31,0,19,406
C-Murder,281289,"['crunk', 'deep southern trap', 'dirty south rap']",48,us,M,0,,1971.0,1998-01-01,2020-05-29,99.0,3,30,1,17,602
Amit Trivedi,1719201,"['desi pop', 'filmi', 'modern bollywood']",66,india,M,0,,1979.0,2009-02-01,2020-05-13,99.0,0,19,0,31,220
Ferrugem,2911194,['pagode'],76,brazil,M,0,,1988.0,2014-09-09,2020-05-22,99.0,7,5,21,25,118
Bobby Womack,429153,"['classic soul', 'funk', 'motown']",59,us,M,0,,1944.0,1969-01-01,2017-06-16,2014.0,13,30,0,7,319
Roméo Elvis,617408,"['belgian hip hop', 'french hip hop', 'new french touch']",69,belgium,M,0,,1992.0,2013-10-14,2020-04-23,99.0,20,5,27,18,105
Vicente Fernández,3182916,"['grupera', 'mariachi', 'ranchera']",76,mexico,M,0,,1940.0,1990-12-06,2018-08-10,99.0,0,50,0,0,751
PENTAGON,767998,"['k-pop', 'k-pop boy group']",64,south korea,G,1,2016.0,,2016-09-07,2020-05-15,,1,3,4,31,152
Aaliyah,2083025,"['dance pop', 'hip hop', 'hip pop']",63,us,F,0,,1979.0,1994-01-01,2020-04-22,99.0,2,6,39,10,108
Jess Glynne,2095550,"['dance pop', 'pop', 'post-teen pop']",79,uk,F,0,,1989.0,2015-01-01,2019-11-08,99.0,0,5,0,45,133
Ronghao Li,205110,"['mainland chinese pop', 'mandopop']",62,china,M,0,,1985.0,2013-09-16,2020-05-23,99.0,0,5,2,23,75
A$AP Mob,1368228,"['hip hop', 'rap', 'southern hip hop']",67,us,G,1,2006.0,,2013-04-12,2017-08-25,,4,4,6,20,78
Gue Pequeno,1328995,['italian hip hop'],72,italy,M,0,,1980.0,2011-01-01,2020-05-29,99.0,1,13,16,22,305
Özgün,255951,"['deep turkish pop', 'turkish pop', 'turkish rock']",51,turkey,M,0,,1979.0,2005-10-14,2020-05-06,99.0,3,10,12,36,168
Felix Jaehn,976103,"['dance pop', 'edm', 'electro house']",80,germany,M,0,,1994.0,2016-07-15,2020-05-22,99.0,0,3,0,47,175
Syd,300918,"['alternative r&b', 'escape room', 'indie r&b']",69,us,F,0,,1992.0,2017-11-01,2020-05-01,99.0,2,1,43,20,51
Joe Jonas,1019421,"['dance pop', 'post-teen pop']",64,us,M,0,,1989.0,2011-01-01,2019-12-20,99.0,18,2,45,8,37
Pentatonix,2645392,['a cappella'],72,us,G,1,2011.0,,2012-06-26,2019-11-20,,0,17,0,33,281
Polo G,1092398,"['chicago rap', 'trap']",82,us,M,0,,1999.0,2018-11-03,2020-05-29,99.0,0,2,34,24,54
IU,1367399,"['k-pop', 'korean pop']",73,south korea,F,0,,1993.0,2008-09-23,2020-05-06,99.0,1,8,16,32,160
Lud Foe,320571,"['chicago rap', 'detroit trap', 'trap']",56,us,M,0,,1996.0,2016-07-17,2020-05-22,99.0,1,4,21,32,97
Damián Córdoba,211706,['cuarteto'],54,argentina,M,0,,1987.0,2006-05-10,2019-12-19,99.0,3,25,9,5,317
Passion Pit,1070920,"['alternative dance', 'indie pop', 'indie rock']",65,us,G,1,2007.0,,2008-09-16,2020-02-07,,13,9,22,22,168
J SOUL BROTHERS III,574159,"['j-division', 'j-pop', 'j-pop boy group']",61,japan,G,1,2010.0,,2010-10-11,2020-04-08,,3,11,0,36,254
Cypress Hill,1147874,"['chicano rap', 'gangster rap', 'hardcore hip hop']",70,us,G,1,1986.0,,1991-01-01,2018-09-28,,0,36,0,14,609
Zion & Lennox,4307724,"['latin', 'latin hip hop', 'reggaeton']",82,puerto rico,G,1,2004.0,,2004-04-05,2020-04-03,,0,6,0,44,178
Kiesza,254726,"['electropop', 'pop edm']",62,canada,F,0,,1989.0,2014-06-23,2020-04-23,99.0,0,4,0,46,132
G-Eazy,4403586,"['hip hop', 'indie pop rap', 'pop rap']",85,us,M,0,,1989.0,2012-09-26,2020-05-29,99.0,0,12,0,38,213
White Lies,340733,"['alternative dance', 'dance-punk', 'garage rock']",60,uk,G,1,2007.0,,2008-01-01,2019-12-06,,0,21,0,29,318
Vanessa Da Mata,736096,"['baile pop', 'bossa nova', 'mpb']",65,brazil,F,0,,1976.0,2003-07-21,2019-10-25,99.0,5,15,20,17,240
Iggy Pop,933168,"['alternative rock', 'classic rock', 'dance rock']",67,us,M,0,,1947.0,1979-01-01,2020-05-29,99.0,0,50,0,0,1110
RÜFÜS DU SOL,579033,"['australian electropop', 'indietronica']",72,australia,G,1,2010.0,,1986-01-01,2020-03-06,,0,23,0,27,341
Jd Pantoja,1487915,['latin viral pop'],62,mexico,M,0,,1995.0,2017-06-07,2020-05-01,99.0,0,0,2,20,20
Calibre 50,3688702,"['banda', 'norteno', 'regional mexican']",78,mexico,G,1,2010.0,,2010-01-01,2020-05-29,,0,21,0,29,342
Yıldız Tilbe,951267,"['arabesk', 'turkish folk', 'turkish pop']",60,turkey,F,0,,1966.0,1994-06-15,2019-12-19,99.0,0,40,0,10,630
The Chainsmokers,15926425,"['electropop', 'pop', 'tropical house']",87,us,G,1,2014.0,,2015-10-07,2020-02-19,,0,6,0,44,208
Hooverphonic,253174,"['downtempo', 'electronica', 'trip hop']",57,belgium,G,1,1995.0,,1996-01-01,2020-05-15,,0,17,0,33,417
G-Unit,1155612,"['gangster rap', 'hardcore hip hop', 'hip hop']",63,us,G,1,1999.0,,2003-01-01,2018-12-31,,23,6,26,17,143
Rodriguinho,518034,"['funk carioca', 'pagode']",63,brazil,M,0,,1978.0,2004-01-01,2020-05-15,99.0,0,13,0,37,197
SUPER JUNIOR,1577215,"['k-pop', 'k-pop boy group']",67,south korea,G,1,2005.0,,2005-05-12,2020-02-12,,1,22,4,25,399
FP do Trem Bala,203652,['funk carioca'],69,brazil,M,0,,1996.0,2018-10-18,2020-05-22,99.0,0,0,2,49,55
Mr. Probz,293367,"['dutch hip hop', 'tropical house']",71,netherlands,M,0,,1984.0,2010-05-30,2020-05-29,99.0,13,1,22,31,62
Turma do Pagode,1372684,"['funk carioca', 'pagode', 'sertanejo universitario']",73,brazil,G,1,2001.0,,2003-01-25,2020-05-29,,8,11,16,21,199
Cobra Starship,388230,"['dance pop', 'neon pop punk', 'pop punk']",61,us,G,1,2006.0,,2006-08-28,2014-08-25,,0,14,10,26,223
Miike Snow,542250,"['alternative dance', 'dance-punk', 'electropop']",62,sweden,G,1,2007.0,,2009-01-01,2017-06-16,,1,13,1,36,251
Jeremy Zucker,834028,"['pop', 'post-teen pop']",83,us,M,0,,1996.0,2015-10-30,2020-04-17,99.0,22,4,26,20,108
Fedez,1369305,"['italian arena pop', 'italian hip hop', 'italian pop']",65,italy,M,0,,1989.0,2013-01-29,2020-05-15,99.0,4,10,24,21,248
SFDK,433435,['spanish hip hop'],64,spain,G,1,1993.0,,2004-11-15,2020-05-29,,1,15,20,17,270
Arcangel,4735370,"['latin', 'latin hip hop', 'reggaeton']",87,us,M,0,,1985.0,2008-09-12,2020-04-24,99.0,0,9,0,41,203
Alisha Chinai,270301,"['filmi', 'indian folk', 'modern bollywood']",46,india,F,0,,1985.0,1986-08-01,2018-04-02,99.0,20,14,21,11,143
CHEN,750774,"['k-pop', 'korean pop']",63,south korea,M,0,,1992.0,2016-02-25,2020-05-19,99.0,7,0,14,19,41
Anu Malik,203033,"['desi pop', 'filmi', 'modern bollywood']",50,india,M,0,,1960.0,1986-10-12,2020-04-03,99.0,0,50,0,0,492
Olly Murs,2723565,"['dance pop', 'europop', 'pop']",71,uk,M,0,,1984.0,2010-11-29,2019-05-31,99.0,0,20,0,30,394
Exaltasamba,789327,"['axe', 'pagode', 'sertanejo universitario']",66,brazil,G,1,1982.0,,1996-01-01,2018-08-24,,15,25,21,4,406
New Order,1155088,"['art rock', 'britpop', 'dance rock']",70,uk,G,1,1980.0,,1981-01-13,2019-07-12,,0,36,0,14,526
SCH,738158,"['french hip hop', 'pop urbaine', 'rap marseille']",73,france,M,0,,1993.0,2015-11-13,2020-05-29,99.0,21,6,32,14,109
